,HI_WOA,DHO,ChaoticWhale,ImprovedGA,OriginalGSKA,OriginalHGS,L_SHADE,BaseSMA,OriginalSMA,AdaptiveEO
59,20258370.47684042,38059.234294312046,502867.0100644445,14756186.410870038,26331908.015839554,3183635.245086436,5247779.047578488,158254499.245028,599315075.9513654,5406684.370055206
60,20258370.47684042,37448.89712484545,499103.1260448266,14756186.410870038,26331908.015839554,3172585.2579340427,5247779.047578488,273596667.2834673,423846797.2242024,5378420.394940167
61,20258370.47684042,36622.18644885565,482297.5910342144,14756186.410870038,26331908.015839554,3158852.1688868105,5247779.047578488,184798048.3826788,598296677.9916804,5373926.708266164
62,20258370.47684042,36623.05648737094,471966.4027218785,14756186.410870038,26331908.015839554,3145669.755026772,5247779.047578488,235088609.9336488,903004990.800866,5369851.557573465
63,20258370.47684042,36313.35643274357,451852.3690754392,14756186.410870038,26331908.015839554,3107590.6766027343,5247779.047578488,95434373.91262454,281445993.4612934,5360241.009703794
64,20258370.47684042,36455.53438396839,438113.18815063057,14756186.410870038,26331908.015839554,3097646.427606713,5247779.047578488,172180513.98785692,139710341.92558,5359339.419433031
65,20258370.47684042,36655.993393922814,415978.2777122073,14756186.410870038,26331908.015839554,3047482.878388865,4410279.153731274,169038043.86772102,404157602.7681444,5354848.989002327
66,20258370.47684042,36528.34492587329,348634.82607732335,14756186.410870038,26331908.015839554,3043884.11525351,4410279.153731274,69037797.81602323,345635598.59561574,5354447.266110664
67,20258370.47684042,36946.37388500024,294903.87871143245,14756186.410870038,26331908.015839554,3026106.086907449,4410279.153731274,131004515.00928304,800165407.917306,5349503.431662497
68,20217528.663609453,36923.9324993073,244540.9144309162,14756186.410870038,26331908.015839554,3010494.2635499886,4410279.153731274,264533237.7084164,1384968785.767481,5347916.93806328
69,20217528.663609453,36886.20247269035,222620.67260115163,14756186.410870038,26331908.015839554,2996127.089756507,4410279.153731274,177471493.44373906,1203300856.3855453,5347388.995532145
70,20217528.663609453,36972.03907368491,202251.68502466692,14756186.410870038,26331908.015839554,2941939.8549153744,4410279.153731274,155219844.41535637,309479264.9397075,5337147.9272968
71,20217528.663609453,37834.40445587986,192940.5645052445,14756186.410870038,26331908.015839554,2898074.584855374,4410279.153731274,221287335.20237368,183684235.97824895,5334497.879235723
72,20217528.663609453,37835.56369797024,178361.54722807652,14756186.410870038,26331908.015839554,2762052.3018445848,4409874.565549297,294345407.7332094,260530246.4833608,5328141.123769783
73,20217528.663609453,39390.22107380706,172827.04414561373,14756186.410870038,26331908.015839554,2610680.074399977,2990876.601483748,68617276.625398,259446661.43887568,5322393.900759227
74,20217528.663609453,38355.34371078071,162292.5685772331,14756186.410870038,26331908.015839554,2527286.140022935,942906.0497961164,83999281.46821633,317963953.69510955,5321301.822022271
75,20217528.663609453,38311.65750499461,148075.65241656193,14756186.410870038,26331908.015839554,2396907.595353553,942906.0497961164,26943889.22874188,260502657.95075813,5321005.178917188
